Métrica,Referência de desenvolvimento,2025,Δ 2025 - referência,Referência utilizada
Average Precision,0.40081097458169895,0.3974456687131155,-0.003365305868583468,Média interna dos folds
ROC-AUC,0.6308499409937857,0.6285562620583193,-0.0022936789354663922,Média interna dos folds
Brier score,0.19389746858763426,0.19382199321256413,-0.00007547537507013313,Média interna dos folds; menor é melhor
Precision,0.33330114898136526,0.33159329140461213,-0.0017078575767531246,OOF temporal no threshold congelado
Recall,0.7704563403495519,0.7718245254477138,0.0013681850981619448,OOF temporal no threshold congelado
F1,0.46530870405989,0.4638892554954321,-0.0014194485644579147,OOF temporal no threshold congelado
