fold,train_years,validation_year,train_rows,validation_rows,output_feature_count,validation_positive_rate,average_precision,roc_auc,brier_score,recall_at_0_5,precision_at_0_5,f1_at_0_5,tn_at_0_5,fp_at_0_5,fn_at_0_5,tp_at_0_5,configured_boosting_rounds,completed_boosting_rounds,max_depth_configured,all_rounds_completed
1,2021,2022,64567,64606,215,0.2849425749930347,0.390374557377428,0.6221008401959205,0.19586497357841257,0.04237057960780053,0.5405405405405406,0.07858150312311102,45534,663,17629,780,300,300,6,true
2,"2021,2022",2023,129173,67766,220,0.28350500250863264,0.40496847114969603,0.6336685028033421,0.19345287692771096,0.04663751821778055,0.5776918117343649,0.08630737369358955,47899,655,18316,896,300,300,6,true
3,"2021,2022,2023",2024,196939,73156,223,0.28193176226146865,0.4070898952179728,0.6367804799820942,0.19237455525677927,0.05032727272727273,0.591116173120729,0.09275724945266073,51813,718,19587,1038,300,300,6,true
