condicao_metereologica,total_occurrences,severe_occurrences,severe_rate_percent
Nevoeiro/Neblina,2838,894,31.501057
Vento,593,186,31.365936
Céu Claro,214012,62867,29.375456
Nublado,54014,14971,27.716888
Sol,20142,5402,26.819581
Chuva,34396,8285,24.087103
Garoa/Chuvisco,12118,2698,22.2644
