br,br_label,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
476,BR 476,2796,755,2041,27.002861,0.816055
480,BR 480,359,78,281,21.727019,0.10478
482,BR 482,162,80,82,49.382716,0.047282
484,BR 484,6,4,2,66.666667,0.001751
485,BR 485,12,4,8,33.333333,0.003502
487,BR 487,182,85,97,46.703297,0.053119
488,BR 488,130,23,107,17.692308,0.037942
493,BR 493,1513,340,1173,22.47191,0.441592
494,BR 494,1,0,1,0.0,0.000292
495,BR 495,151,34,117,22.516556,0.044072
498,BR 498,1,1,0,100.0,0.000292
