uf,total_occurrences,severe_occurrences,severe_rate_percent
MG,44502,13025,29.268347
SC,39849,9942,24.949183
PR,37055,9850,26.582108
RJ,27669,5771,20.857277
RS,24511,5434,22.169638
SP,23005,4288,18.639426
BA,18779,6494,34.581181
GO,15940,4582,28.745295
PE,14549,5154,35.425115
ES,12083,4043,33.460233
MT,11826,3341,28.251311
MS,8464,2575,30.422968
PB,8379,2776,33.130445
RN,7248,2228,30.739514
RO,7134,2006,28.118867
