fold,train_years,validation_year,train_rows,validation_rows,output_feature_count,validation_positive_rate,average_precision,roc_auc,brier_score,recall_at_0_5,precision_at_0_5,f1_at_0_5,tn_at_0_5,fp_at_0_5,fn_at_0_5,tp_at_0_5,iterations,converged
1,2021,2022,64567,64606,215,0.2849425749930347,0.3866809762501382,0.6169751375443843,0.19645154811277926,0.03264707480036939,0.5414414414414415,0.061581023618013216,45688,509,17808,601,3,true
2,"2021,2022",2023,129173,67766,220,0.28350500250863264,0.3960583174959361,0.62737846563422,0.19444985459760528,0.04257755569435769,0.5431606905710491,0.07896515107635871,47866,688,18394,818,3,true
3,"2021,2022,2023",2024,196939,73156,223,0.28193176226146865,0.3977855869271569,0.6287792847282672,0.19355777397050494,0.04242424242424243,0.5612572161642079,0.07888568337540569,51847,684,19750,875,3,true
