variable,source_year,non_null_occurrences,parseable_occurrences,distinct_values,covered_months,missing_months,minimum_value,maximum_value,derivation_consistent_occurrences,top_category,top_category_occurrences,top_category_share_percent
uso_solo,2021,64567,,2,,,,,,Não,35827,55.488097635
uso_solo,2022,64606,,2,,,,,,Não,35884,55.542828839
uso_solo,2023,67766,,2,,,,,,Não,39321,58.02467314
uso_solo,2024,73156,,2,,,,,,Não,41705,57.008311007
uso_solo,2025,72529,,2,,,,,,Não,41444,57.141281418
veiculos,2021,64567,,19,,,,,,2,30150,46.695680456
veiculos,2022,64606,,18,,,,,,2,30189,46.727858094
veiculos,2023,67766,,22,,,,,,2,32013,47.240504088
veiculos,2024,73156,,20,,,,,,2,35107,47.989228498
veiculos,2025,72529,,21,,,,,,2,35070,48.353072564
