model_a,model_b,ap_delta_fold1,ap_delta_fold2,ap_delta_fold3,ap_mean_delta
phase_4a_logistic_baseline,phase_4b_random_forest_baseline,0.0014147930212031756,0.003614379898547959,0.0023977291666469336,0.0024756340287994116
phase_4a_logistic_baseline,phase_4c_xgboost_baseline,0.003693581127289791,0.008910153653759911,0.00930430829081591,0.00730268102395526
phase_4b_random_forest_baseline,phase_4c_xgboost_baseline,0.0022787881060866155,0.005295773755211952,0.006906579124168977,0.004827046995155848
