metric,development_reference,development_value,final_2025_value,delta_final_minus_development
average_precision,internal_fold_mean,0.40081097458169895,0.3974456687131155,-0.003365305868583468
average_precision,fold3_2024,0.4070898952179728,0.3974456687131155,-0.0096442265048573
roc_auc,internal_fold_mean,0.6308499409937857,0.6285562620583193,-0.0022936789354663922
brier_score,internal_fold_mean,0.19389746858763426,0.19382199321256413,-0.00007547537507013313
precision_frozen_threshold,pooled_temporal_oof,0.33330114898136526,0.33159329140461213,-0.0017078575767531246
recall_frozen_threshold,pooled_temporal_oof,0.7704563403495519,0.7718245254477138,0.0013681850981619448
f1_frozen_threshold,pooled_temporal_oof,0.46530870405989,0.4638892554954321,-0.0014194485644579147
