fold,train_years,validation_year,train_rows,validation_rows,output_feature_count,validation_positive_rate,average_precision,roc_auc,brier_score,recall_at_0_5,precision_at_0_5,f1_at_0_5,tn_at_0_5,fp_at_0_5,fn_at_0_5,tp_at_0_5,n_estimators,mean_tree_depth,max_tree_depth_observed,mean_tree_node_count,max_tree_node_count
1,2021,2022,64567,64606,215,0.2849425749930347,0.3880957692713414,0.6185441901535429,0.1966648077574826,0.0034222391221685046,0.6494845360824743,0.006808602615367988,46163,34,18346,63,300,20.0,20,1862.9266666666667,2481
2,"2021,2022",2023,129173,67766,220,0.28350500250863264,0.3996726973944841,0.6294224726541079,0.19488729276566014,0.006818655007287113,0.5900900900900901,0.013481527220335496,48463,91,19081,131,300,20.0,20,2775.713333333333,3767
3,"2021,2022,2023",2024,196939,73156,223,0.28193176226146865,0.4001833160938038,0.6303369399771448,0.19399737763950947,0.008921212121212121,0.5993485342019544,0.01758073762660042,52408,123,20441,184,300,20.0,20,3592.3533333333335,4965
