outcome,rows,share_of_final_rows,mean_probability,median_probability,p10_probability,p25_probability,p75_probability,p90_probability,minimum_probability,maximum_probability
TP,15817,0.2180782859270085,0.3494046501923189,0.33181607723236084,0.2561127722263336,0.28323131799697876,0.39834773540496826,0.4690002679824829,0.23723572492599487,0.7569674849510193
FP,31883,0.43958968136883175,0.3232969985473591,0.30798301100730896,0.2494817465543747,0.26850149035453796,0.3601170927286148,0.4185787498950958,0.23723594844341278,0.7530184984207153
FN,4676,0.06447076341877042,0.1977951112414421,0.20448584109544754,0.152973510324955,0.17821768671274185,0.22291931882500648,0.23186031728982925,0.07903868705034256,0.23721608519554138
TN,20153,0.2778612692853893,0.190061590972424,0.1955329030752182,0.14225589632987976,0.1674281656742096,0.2175195813179016,0.2295772075653076,0.05519633740186691,0.2372317910194397
