threshold_role,threshold,rows,actual_positive,actual_negative,predicted_positive,predicted_negative,precision,recall,f1,tn,fp,fn,tp
frozen_threshold,0.23723246157169342,72529,20493,52036,47700,24829,0.33159329140461213,0.7718245254477138,0.4638892554954321,20153,31883,4676,15817
reference_0_5,0.5,72529,20493,52036,1788,70741,0.5587248322147651,0.048748353096179184,0.08967281540325839,51247,789,19494,999
