model_id,ap_min,ap_max,ap_range,ap_population_std,fold1_to_fold2_delta,fold2_to_fold3_delta
phase_4a_logistic_baseline,0.3866809762501382,0.3977855869271569,0.011104610677018678,0.004878870165386994,0.009377341245797921,0.001727269431220757
phase_4b_random_forest_baseline,0.3880957692713414,0.4001833160938038,0.012087546822462436,0.00558166427201829,0.011576928123142705,0.0005106186993197315
phase_4c_xgboost_baseline,0.390374557377428,0.4070898952179728,0.016715337840544797,0.007430307892479644,0.014593913772268041,0.002121424068276756
